plantName,urls
Aloe Vera,https://upload.wikimedia.org/wikipedia/commons/b/b0/Aloe_vera_flower_bud.jpg
Basil,https://upload.wikimedia.org/wikipedia/commons/3/32/Ocimum_Basilicum_leaf_lighted_by_the_left.jpg
Snake Plant,https://upload.wikimedia.org/wikipedia/commons/7/7e/Snake_plant_%28Sansevieria_trifasciata%29_Waoleona_Buton_Island_02.jpg
Lavender,https://upload.wikimedia.org/wikipedia/commons/7/7e/Single_lavender_flower02.jpg
Cactus,https://upload.wikimedia.org/wikipedia/commons/7/70/Pachycereus_pringlei_forest.jpg
Rosemary,https://upload.wikimedia.org/wikipedia/commons/a/aa/Rosemary_cantora_em_2013.jpg
Mint,https://upload.wikimedia.org/wikipedia/commons/e/e1/Mint_leaves_%28Mentha_spicata%29.jpg
Thyme,https://upload.wikimedia.org/wikipedia/commons/4/4e/Eristalinus_aeneus_on_Thymus_vulgaris%2C_S%C3%A8te_03.jpg
Peace Lily,https://upload.wikimedia.org/wikipedia/commons/a/a1/Peace_lily_-_2.jpg
Spider Plant,https://upload.wikimedia.org/wikipedia/commons/d/da/Common_crab_spider_%28Xysticus_cristatus%29_female_with_prey_Carniolan_honey_bee_%28Apis_melifera_carnica%29.jpg
Parsley,https://upload.wikimedia.org/wikipedia/commons/0/0b/Petroselinum_crispum_003.JPG
Fern (Boston),https://upload.wikimedia.org/wikipedia/commons/f/f7/Nephrolepis_exaltata_indoor0705c.jpg
Bamboo Palm,https://upload.wikimedia.org/wikipedia/commons/d/df/Chamaedorea_seifrizii7.jpg
Money Plant,https://upload.wikimedia.org/wikipedia/commons/c/c8/Among_the_branches_of_a_potted_jade_plant.jpg
Jade Plant,https://upload.wikimedia.org/wikipedia/commons/c/c8/Among_the_branches_of_a_potted_jade_plant.jpg
Orchids,https://upload.wikimedia.org/wikipedia/commons/a/a5/Orchidaceae_flowers_-_magenta_colour.jpg
Cilantro,https://upload.wikimedia.org/wikipedia/commons/e/ee/%28MHNT%29_Coriandrum_sativum_-_inflorescence.jpg
Dill,https://upload.wikimedia.org/wikipedia/commons/3/3a/Aneth_FR_2012.jpg
Chives,https://upload.wikimedia.org/wikipedia/commons/5/53/Allium_schoenoprasum_%28Bieslook%29._actm.jpg
Oregano,https://upload.wikimedia.org/wikipedia/commons/1/17/Origanum_vulgare_inflorescence_-_Keila.jpg
Pothos,https://upload.wikimedia.org/wikipedia/commons/8/81/Pothos_%E2%80%93_inv_6253_%E2%80%93_MANN_%28Naples%29.jpg
Rubber Plant,https://upload.wikimedia.org/wikipedia/commons/8/88/Ficus_November_2008-1.jpg
Bougainvillea,https://upload.wikimedia.org/wikipedia/commons/3/36/Bougainvillea_at_Guru_Ram_Rai_Darbar%2C_Dehradun.jpg
Fiddle Leaf Fig,https://upload.wikimedia.org/wikipedia/commons/8/84/Starr_031108-0130_Ficus_lyrata.jpg
Sage,https://upload.wikimedia.org/wikipedia/commons/f/f4/Salvia_officinalis_in_Cardaillac_%281%29.jpg
Cosmos,https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Geranium,https://upload.wikimedia.org/wikipedia/commons/8/86/Geranium_wallichianum_%27Crystal_Lake%27_06.JPG
Marigold,https://upload.wikimedia.org/wikipedia/commons/6/67/Calendula_January_2008-1_filtered.jpg
Zinnia,https://upload.wikimedia.org/wikipedia/commons/b/b9/Monarch_Butterfly_Pink_Zinnia_1800px.jpg
Hibiscus,https://upload.wikimedia.org/wikipedia/commons/5/55/Hibiscus_petal.jpg
Begonia,https://upload.wikimedia.org/wikipedia/commons/7/7b/Begonia_grandis_%27claret_jug%27_01.jpg
