plantName,urls
Maranta (Prayer Plant),"https://www.happyhouseplants.co.uk/cdn/shop/articles/Maranta_4.jpg?v=1646653024,https://cdn11.bigcommerce.com/s-oqm1pc/images/stencil/1280x1280/products/6857/28583/8_MARANTA_RED_TEMP_3.12.24__57448.1713469994.jpg?c=3,https://bouqs.com/blog/wp-content/uploads/2023/06/shutterstock_1852811200-min.jpg"
Pothos (Golden Pathos),"https://nouveauraw.com/wp-content/uploads/2020/01/Pothos-Golden-Pothos-plant-FF.png,https://abeautifulmess.com/wp-content/uploads/2023/06/GoldenPothos-1.jpg,https://shop.hicksnurseries.com/cdn/shop/products/available-for-pickup-delivery-indoor-plants-pothos-golden-8-inch-hanging-basket-23761167450304_2048x.jpg?v=1740510149"
Banana Plant,"https://i0.wp.com/sugarcreekgardens.com/wp-content/uploads/2024/10/Musa-sikkimensis-Ever-Red-Hardy-Banana-Tree-6.jpg?fit=1000%2C1000&ssl=1,https://cdn.mos.cms.futurecdn.net/KVyYN5nbX9nUuLT9FGve48.jpg,https://i0.wp.com/tacogirl.com/wp-content/uploads/2013/03/Banana-Tree-from-Twisted-Sifter-who-got-it-from-freefly-flunky-on-Flickr.jpg?ssl=1"
Jasmine (Indoor),"https://www.whiteflowerfarm.com/mas_assets/cache/image/5/8/e/f/22767.Jpg,https://www.marthastewart.com/thmb/0ageNdHN-RL0Gv5Oll5t8Jx63ig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/jasmine-plant-windowsill-getty-1220-2000-6508d5102dd846b48c35eaf713888064.jpg,https://www.whiteflowerfarm.com/mas_assets/cache/image/9/c/9/8/40088.Jpg"
Anigozanthos (Kangaroo Paw),"https://www.boethingtreeland.com/wp-content/uploads/2018/02/anigozanthos_bush_ranger_.jpg,https://www.gardenia.net/wp-content/uploads/2023/05/Anigozanthos-flavidus-Kangaroo-Paw.webp,https://gardeningwithangus.com.au/wp-content/uploads/2015/12/anigozanthos_kangaroo-paw_bush-ballad-1-1.jpg"
Aquilegia (Columbine),"https://www.gardenia.net/wp-content/uploads/2023/03/FF16MJ3DAAugduXoUWgYmGFkRnWqDNDJhfK0RSVZ-1-780x520.webp,https://www.thespruce.com/thmb/ZyzE9R3gwJvWu7r9VqrjQ3Ke3wo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-to-grow-and-care-for-columbines-1402831_02-5b8c08ca0a114dc6b92d99f89b01b0be.jpg,https://www.easytogrowbulbs.com/cdn/shop/files/ColumbineOrigamiMix.jpg?v=1709162751"
Brachychiton (Bottle Tree),"https://kensnursery.com/wp-content/uploads/BRA-RUP-s1-600x800.jpg,https://images.squarespace-cdn.com/content/v1/60da78a5eeee836cf74939ae/d787147f-e0f8-4401-bd2e-51ed086bbe69/IMG_8433.jpeg?format=1000w,https://floridaseeds.net/cdn/shop/files/693c3984ff3f2ee997f660c6.png?v=1765984898&width=1445"
Cananga (Ylang-Ylang),"https://cdn.britannica.com/51/61051-050-96EF3912/Ylang-ylang.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Cananga_odorata_01.JPG/1280px-Cananga_odorata_01.JPG,https://toptropicals.com/pics/garden/04/1000/0826.jpg"
Cockscomb (Celosia),"https://www.harvesting-history.com/wp-content/uploads/2017/01/HH_Flow_Celosia_2.3.2020-600x406-1.jpg,https://images.squarespace-cdn.com/content/v1/5b7f8367f2e6b191fbb627a7/1588368329085-8T9109HVYGVQT5ZOAYIT/celosia+5.JPG,https://www.epicgardening.com/wp-content/uploads/2023/09/Multiple-Colorful-Variations-of-Cockscomb-Flowers.jpg"
Kiwi Vine,"https://cdn.shopify.com/s/files/1/0061/1391/9089/files/Kiwi_plantation.jpg?v=1752857266,https://cdn.mos.cms.futurecdn.net/i8RHxxvsdhaUMTaXzhfTpV.jpg,https://www.gardenia.net/wp-content/uploads/2025/08/ChatGPT-Image-Aug-28-2025-12_55_33-PM.jpg"
Malva (Mallow),"https://upload.wikimedia.org/wikipedia/commons/0/09/Mallow_January_2008-1.jpg,https://wgi-img.s3.amazonaws.com/VarietyImage/a19ed3905584836c5f75c5dcb8ef8bc6.jpg,https://www.gardenia.net/wp-content/uploads/2023/05/Malva-sylvestris-780x520.webp"
Neoregalia (Bromeliad),"https://eureka-farms.com/cdn/shop/files/2D3E99B4-A21C-4DED-AD61-0B4593F1288C.jpg?v=1706669983,https://sundanceorchids.com/wp-content/uploads/2020/04/20230912_142444-scaled.jpg,https://www.thebiodude.com/cdn/shop/products/bromeliad_bundle_5022db17-1ca7-41c9-baf0-88967b289b90.jpg?v=1647536583"
Red Hot Poker (Kniphofia),"https://www.dutchgrown.com/cdn/shop/products/Red_Hot_Poker_Kniphofia-4.jpg?v=1674822551,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/kniphofia_hot_and_cold_apj21.jpg,https://www.gardendesign.com/pictures/images/900x705Max/site_3/rocket-s-red-glare-kniphofia-kniphofia-hybrid-proven-winners_17966.jpg"
Red-leafed Maple,"https://mapleleavesforever.ca/wp-content/uploads/2017/05/NativeMapleRedMaple3.jpg,https://plantmegreen.com/cdn/shop/products/Maple_Jap_Bloodgood_Branch_1.jpg?v=1740434015&width=720,https://shop-static.arborday.org/media/0003299_summer-red-maple.jpeg"
Strawberry Plant,"https://melissaknorris.com/wp-content/uploads/2022/05/Strawberries-ready-to-pick_MKN-1024x683.jpg,https://www.tnnursery.net/cdn/shop/articles/8338a51a986d27bfb4457e28b5d3c6ac_5ff956c3-9700-4fe7-b1fd-687474231d7b.jpg?v=1766330934,https://cdn.mos.cms.futurecdn.net/gsyHgga9RwgXSVBPujwmmg-836-80.jpg"
Sweet Potato Vine,"https://robrick.com/wp-content/uploads/2025/05/blackipoemoea2_488x700.jpg,https://i.ebayimg.com/images/g/spgAAOSwkUBmsCqq/s-l1200.png,https://www.almanac.com/sites/default/files/styles/or/public/image_nodes/sweet-potato-vine-kathryn-roach.jpg?itok=o3s_8qlM"
Zephyranthes (Rain Lily),"https://www.flawildflowers.org/wp-content/uploads/2015/04/zephyranthes_atamasca_dietrich2-e1602609610190.jpg,https://www.highcountrygardens.com/cdn/shop/files/zephyranthes-mixture-rain-lilies-mix.jpg?v=1761077245,https://www.gardenia.net/wp-content/uploads/2023/05/zephyranthes-grandiflora-780x450.webp"
Lacandonian,"https://upload.wikimedia.org/wikipedia/commons/1/1e/Lacandonia.PNG,https://inaturalist-open-data.s3.amazonaws.com/photos/2453263/large.JPG,https://inaturalist-open-data.s3.amazonaws.com/photos/14295754/medium.jpg"
Nandina (Heavenly Bamboo),"https://www.gardenia.net/wp-content/uploads/2023/05/Nandina-Domestica-Heavenly-Bamboo.webp,https://images.immediate.co.uk/production/volatile/sites/10/2020/01/2048x1365-Grow-Guide-Nandina-My_Container_Style_with_Joe_Swift_15_10_18_Container2_c21-f011568.jpg?quality=90&resize=940,627,https://cdn.shopify.com/s/files/1/0059/8835/2052/products/Heavenly_Bamboo_Nandina_1.jpg?v=1612444396"
Peepal Tree,"https://aranyanursery.com/wp-content/uploads/2024/09/Peepal-raavi-chettu.jpeg,https://i.etsystatic.com/18235076/r/il/cd02ab/2184449508/il_1080xN.2184449508_do26.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Ficus_religiosa_Bo.jpg"
Scabiosa (Pincushion Flower),"https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw28cd0d23/images/products/flowers/04759_01_triple_berry_mix.jpg?sw=800&sh=800,https://www.thespruce.com/thmb/GdJnczTYiy_I0q9hTEv42B8qZYk=/2848x0/filters:no_upscale():max_bytes(150000):strip_icc()/pincushion-flower-1316042-hero-d79da19692f1453fad6ade940b57b468.jpg,https://www.thespruce.com/thmb/Iw9nyGIWA9JRpNrTd8oXqQnrumA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/pincushion-flower-1316042-02-986f065e0ffe49cd85a512f997556a27.jpg"
Silene (Catchfly),"https://www.applewoodseed.com/wp-content/uploads/2016/12/SARM-703.jpg,https://www.gardenia.net/wp-content/uploads/2023/05/silene-armeria-garden-catchfly-780x520.webp,https://sciotogardens.com/wp-content/uploads/2020/08/Silene-regia-Royal-Catchfly-with-Caught-Fly-scaled.jpg"
Silverbell Tree,"https://theplantnative.com/wp-content/uploads/2023/11/carolina-silverbell-in-bloom-native-tree.webp,https://hgic.clemson.edu/wp-content/uploads/2018/02/two-winged-silverbell-halesia-diptera-blooms-han.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/24/Halesia_carolina3.jpg"
Themeda (Kangaroo Grass),"https://futurebeef.com.au/wp-content/uploads/2011/09/DSC_0253-1.jpg,https://dhseedharvestco.com/cdn/shop/files/R_7_1000x.jpg?v=1687971670,https://plantsandlandscapes.com.au/wp-content/uploads/2019/04/Themeda_australis.jpg"
Tuberose (Polianthes),"https://www.dutchbulbs.com/cdn/shop/files/73141.webp?v=1743400473,https://cdn11.bigcommerce.com/s-asrnch/product_images/uploaded_images/single-tuberoses-600-x-400-.jpg,https://cdn11.bigcommerce.com/s-asrnch/images/stencil/1280x1280/products/4731/14397/shutterstock_1410448697__49264.1710965681.jpg?c=2"
Zea Mays (Corn),"https://cdn.britannica.com/65/120965-050-1A70BF40/Corn.jpg,https://www.illinoiswildflowers.info/grasses/photos/corn1.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRP5gA-hcnlyCW8pQ2poSADMwU3jZPK9hRG_Q&s"
Zoysia Grass,"https://info.supersod.com/hubfs/Super-Sod%20BLOG/Long%20Unmowed%20Zoysia/long-unmowed-zoysia1.jpeg,https://wesellgrass.com/wp-content/uploads/2020/12/emerald-zoysia.jpg,https://thegrassoutlet.com/wp-content/uploads/Zeon-1-scaled.jpeg"
Achillea (Yarrow),"https://www.whiteflowerfarm.com/mas_assets/cache/image/8/8/5/b/34907.Jpg,https://www.everwilde.com/media//0800/resized/FACHMIR-A-Red-Yarrow-Seeds_medium.jpg,https://www.gardenia.net/wp-content/uploads/2023/05/achillea-terracotta-yarrow-780x520.webp"
Armeria (Thrift),"https://sparrowhawknativeplants.com/cdn/shop/files/Armeria.maritima-manyflowers_iNat_753x.jpg?v=1716916634,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDpY32nGY4lH-MQud8bQdvNpCZEea4CO3rPQ&s,https://plantsexpress.com/cdn/shop/files/Sea-pink-thrift-3.jpg?v=1684522737&width=1946"
