plantName,urls
Rosemary,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQTvWlR_WeUH_3vGedyr436h-bTj_Gzm-6lQ&s
Jade Plant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQch1KE_lhTy5Nq1ew7JM__3tMeY2OWvThvAA&s
Pothos,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvgzPpfPU3HH2KEiWqxh5nBtnsJkInznbCmA&s 
Cosmos,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0rzegqghZrP_AtMjtuD2LDRD72b3LPocn-Q&s
Morning Glory,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjl_1iTQU_oC-YCJZ7gbP6WQj6YSBoe7wgyw&s
Hyacinth,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoWtjNlQQJgWPNP-B5bjFlfFRDaugGD8kAXQ&s
Canna Lily,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjEZhJP3OGDliJF6_AXC8tmB-vQcsPIXXSNQ&s
Lotus Bamboo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVCvLPCfPA6PDV63xGknpSSDg6KCg8tO08Vg&s
Succulent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRvx8C-MbMdJK6KCga2i4x9h5oCy1XD9jnWQ&s
Lobelia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp5kpAPMwukZe-cbBOmRmRKIYsWQBZ_2FJdA&s
Larkspur,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhfzP0ZD7PiiU3cvFZu6dVp1z4-D3Whav5kg&s
Catnip,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlGlq_aYoegWd7cd-ZJWWWL4Vj0r9XQBMX1g&s
Lemongrass,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThkdM2kt3OEkH8XgIWqRi6bMn00rH-Jx9g_g&s
Stevia,https://cdn.britannica.com/21/182621-050-CFF4CCEE/Leaves-flowers-stevia-member-aster-family.jpg
Croton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI2Lh02ml9S9mBYsRTv7ueYYIxTm2Oog7PjA&s
Peperomia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFddsVjgP6L_-IYV59txlTsr_ndzHbXk6Gng&s
String of Pearls,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaGanB9vcyNy0i63hXz31UBRrN3bphnjvf5g&s
Wandering Jew,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg__YpSvdTgWPO9o5dfTk3aQCIyXx3Xi1cDQ&s
Heliotrope,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3LFsVfNNjeMS79PH8bZ2osq-IMqvB2u6TUw&s
Dianella,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPdINsbUXHG8xndPBy4uJNtS1gmFzSilw5dA&s
Viola,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtSq2w9DFZS-3NAhHDlsvpEtPYIxWxHA8xJg&s
Jasmine (Outdoor),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRb_KASVmylESxk3-Akohn3ZTh-JEUy897hQ&s
Sweet William,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlSLhJilP3MEvQGqqYE_DUii5DF3it8WWMuA&s
Gul Mohar (Flame Tree),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTziHHsc040KxOSrM2Oj4NDffp5JQj9U2U6MQ&s
